Course_ID,Learners_Enrolled,Exam_Registration
noc26_cy70,727,22
noc26_cy71,391,15
noc26_cy72,882,32
noc26_cy73,3075,103
noc26_cy74,502,21
noc26_cy75,491,21
noc26_cy76,600,8
noc26_de19,519,22
noc26_de20,1263,169
noc26_de21,1655,219
noc26_de22,385,22
noc26_de23,3886,606
noc26_de24,187,7
noc26_de25,321,37
noc26_de26,17006,3365
noc26_de27,3282,95
noc26_de28,1455,43
noc26_de29,283,9
noc26_de30,1213,89
noc26_de31,296,14
noc26_ec11,2781,151
noc26_ec12,541,5
noc26_ec13,500,135
noc26_ec14,952,52
noc26_ec15,332,8
noc26_ec16,3634,90
noc26_ec17,679,38
noc26_ec18,2561,73
noc26_ec19,232,23
noc26_ec20,3025,121
noc26_ec21,1050,10
noc26_ec22,643,111
noc26_ec23,926,43
noc26_ee100,326,13
noc26_ee101,4739,134
noc26_ee102,379,5
noc26_ee103,10931,507
noc26_ee104,1229,33
noc26_ee105,948,13
noc26_ee106,1030,30
noc26_ee107,1444,63
noc26_ee108,2585,77
noc26_ee109,3263,247
noc26_ee110,2021,37
noc26_ee111,1479,55
noc26_ee112,978,36
noc26_ee113,3324,166
noc26_ee114,462,18
noc26_ee115,2627,57
noc26_ee116,2092,62
noc26_ee117,110,2
noc26_ee118,2235,74
noc26_ee119,1005,24
noc26_ee120,6488,192
noc26_ee121,1378,139
noc26_ee122,140,3
noc26_ee123,2874,90
noc26_ee124,246,4
noc26_ee125,1529,119
noc26_ee126,1226,134
noc26_ee127,1238,51
noc26_ee128,234,5
noc26_ee129,1115,30
noc26_ee130,1701,69
noc26_ee131,1736,202
noc26_ee132,136,3
noc26_ee133,1041,19
noc26_ee134,3560,62
noc26_ee135,5239,131
noc26_ee137,2106,65
noc26_ee138,7178,173
noc26_ee139,6137,167
noc26_ee140,852,38
noc26_ee141,697,25
noc26_ee142,254,7
noc26_ee143,229,12
noc26_ee144,2302,74
noc26_ee145,199,2
noc26_ee146,3085,134
noc26_ee147,15192,783
noc26_ee148,504,19
noc26_ee149,1244,76
noc26_ee150,348,20
noc26_ee151,966,52
noc26_ee152,2088,157
noc26_ee153,1667,58
noc26_ee154,7744,161
noc26_ee155,945,16
noc26_ee156,2577,35
noc26_ee157,2517,162
noc26_ee158,584,29
noc26_ee159,13686,196
noc26_ee160,436,15
noc26_ee161,313,13
noc26_ee162,697,17
noc26_ee163,738,32
noc26_ee164,182,4
noc26_ee165,218,15
noc26_ee166,1768,31
noc26_ee167,2159,115
noc26_ee168,3810,107
noc26_ee169,1389,66
noc26_ee170,1659,83
noc26_ee171,2521,72
noc26_ee172,1583,147
noc26_ee173,1392,56
noc26_ee174,3220,48
noc26_ee175,5190,109
noc26_ee176,3130,91
noc26_ee177,20488,929
noc26_ee178,5611,205
noc26_ee179,836,15
noc26_ee180,1987,83
noc26_ee181,2200,76
noc26_ee182,2136,93
noc26_ee183,421,15
noc26_ee184,690,19
noc26_ee185,467,15
noc26_ee186,424,45
noc26_ee187,10685,601
noc26_ee188,234,4
noc26_ee189,8603,288
noc26_ee190,1460,75
noc26_ee191,1711,45
noc26_ee192,319,11
noc26_ee193,7952,629
noc26_ee194,1352,40
noc26_ee195,296,16
noc26_ee197,880,23
noc26_ee198,942,35
noc26_ee199,143,4
noc26_ee200,1025,36
noc26_ee201,427,1
noc26_ee202,1254,36
noc26_ee93,613,18
noc26_ee94,1696,44
noc26_ee95,396,5
noc26_ee96,6511,139
noc26_ee97,3479,108
noc26_ee98,1059,32
noc26_ee99,308,5
noc26_ge100,14740,1001
noc26_ge101,434,7
noc26_ge102,5079,165
noc26_ge103,998,66
noc26_ge104,314,54
noc26_ge105,4190,195
noc26_ge106,7247,534
noc26_ge47,183,7
noc26_ge48,413,11
noc26_ge49,688,24
noc26_ge50,1719,128
noc26_ge55,855,35
noc26_ge57,303,13
noc26_ge58,7664,638
noc26_ge59,3970,217
noc26_ge60,1445,70
noc26_ge61,1366,105
noc26_ge62,1366,57
noc26_ge63,5653,590
noc26_ge64,761,122
noc26_ge65,3559,266
noc26_ge66,488,57
noc26_ge67,2766,143
noc26_ge68,981,9
noc26_ge69,4009,457
noc26_ge70,1242,84
noc26_ge71,123,9
noc26_ge72,6024,238
noc26_ge73,102,7
noc26_ge74,215,4
noc26_ge75,2557,90
noc26_ge76,572,34
noc26_ge77,888,85
noc26_ge78,5424,224
noc26_ge79,23567,3991
noc26_ge80,1198,88
noc26_ge81,1664,97
noc26_ge82,6969,821
noc26_ge83,14799,2358
noc26_ge84,802,44
noc26_ge85,2799,125
noc26_ge86,606,27
noc26_ge87,2295,236
noc26_ge88,460,20
noc26_ge89,581,27
noc26_ge90,2888,232
noc26_ge91,2016,130
noc26_ge92,120,0
noc26_ge93,11218,968
noc26_ge94,408,7
noc26_ge95,296,8
noc26_ge96,5462,191
noc26_ge97,2234,172
noc26_ge98,5238,309
noc26_ge99,1854,208
noc26_hs121,426,20
noc26_hs123,Removed / Unavailable,Removed / Unavailable
noc26_hs124,1601,103
noc26_hs125,682,37
noc26_hs126,1580,91
noc26_hs127,2057,149
noc26_hs131,869,58
noc26_hs133,14627,1564
noc26_hs135,1546,114
noc26_hs136,481,30
noc26_hs137,9856,772
noc26_hs138,183,10
noc26_hs139,5207,229
noc26_hs140,420,30
noc26_hs141,2968,14
noc26_hs142,692,49
noc26_hs143,205,10
noc26_hs144,724,20
noc26_hs145,10798,1002
noc26_hs146,714,60
noc26_hs147,1312,182
noc26_hs148,465,50
noc26_hs149,4524,765
noc26_hs150,2705,340
noc26_hs151,710,15
noc26_hs152,477,33
noc26_hs153,1202,59
noc26_hs154,1503,104
noc26_hs155,263,7
noc26_hs156,1076,143
noc26_hs157,213,11
noc26_hs158,1310,457
noc26_hs159,470,27
noc26_hs160,35053,4472
noc26_hs161,8652,1258
noc26_hs162,122,3
noc26_hs163,949,154
noc26_hs164,3690,712
noc26_hs165,467,19
noc26_hs166,5586,577
noc26_hs167,1775,184
noc26_hs168,6259,594
noc26_hs169,8256,832
noc26_hs170,132,3
noc26_hs171,95,2
noc26_hs172,504,66
noc26_hs173,1118,84
noc26_hs174,9021,391
noc26_hs175,1155,44
noc26_hs176,390,19
noc26_hs177,341,18
noc26_hs178,489,28
noc26_hs179,1297,131
noc26_hs180,1386,97
noc26_hs181,2991,143
noc26_hs182,706,18
noc26_hs183,1315,78
noc26_hs184,9765,459
noc26_hs185,610,74
noc26_hs186,1703,63
noc26_hs187,307,20
noc26_hs188,8433,927
noc26_hs189,517,39
noc26_hs190,425,24
noc26_hs191,519,59
noc26_hs192,1092,47
noc26_hs193,29688,2840
